Equipment Name,Type,Flowrate,Pressure,Temperature
Pump-A1,Centrifugal Pump,120.5,8.2,65.3
Reactor-B2,Batch Reactor,85.0,15.5,180.0
Heat-Exchanger-C3,Shell and Tube,200.3,6.8,90.5
Compressor-D4,Rotary Compressor,150.0,25.0,110.0
Tank-E5,Storage Tank,0.0,1.0,25.0
Pump-A2,Centrifugal Pump,135.2,9.1,68.0
Reactor-B3,Batch Reactor,92.5,16.2,175.5
Heat-Exchanger-C4,Shell and Tube,185.0,7.2,88.0
Compressor-D5,Rotary Compressor,165.0,24.5,112.0
Tank-E6,Storage Tank,0.0,1.2,22.0
Pump-A3,Centrifugal Pump,118.0,8.5,66.0
Reactor-B4,Batch Reactor,88.0,15.8,182.0
Heat-Exchanger-C5,Shell and Tube,210.5,6.5,92.0
Compressor-D6,Rotary Compressor,155.0,25.5,108.0
Tank-E7,Storage Tank,0.0,1.0,24.5
Pump-A4,Centrifugal Pump,142.0,9.0,70.0
Reactor-B5,Batch Reactor,90.0,16.0,178.0
Heat-Exchanger-C6,Shell and Tube,195.0,7.0,89.0
Compressor-D7,Rotary Compressor,160.0,24.0,111.0
Tank-E8,Storage Tank,0.0,1.1,23.0
Pump-A5,Centrifugal Pump,128.0,8.8,67.0
Reactor-B6,Batch Reactor,86.5,15.2,181.0
Heat-Exchanger-C7,Shell and Tube,205.0,6.9,91.0
Compressor-D8,Rotary Compressor,158.0,25.2,109.0
Tank-E9,Storage Tank,0.0,1.0,25.0
Pump-A6,Centrifugal Pump,138.0,9.2,69.0
Reactor-B7,Batch Reactor,91.0,16.5,176.0
Heat-Exchanger-C8,Shell and Tube,190.0,7.1,87.0
